Var1,mediandff,registered,maskdff,combmaskdff
75,1.64864864864865,0,1.71110586406182,1.54161199761912
76,1.65985386221294,0,1.70889010686213,1.53275837248328
77,1.65733710934362,0,1.70962399285086,1.5338079667873
78,1.63440860215054,0,1.68424754767598,1.52374583502253
79,1.65176470588235,0,1.69646991871355,1.51868849870186
80,1.64864864864865,0,1.69088385759328,1.513464158971
81,1.62958115183246,0,1.67840762040683,1.51057416945467
82,1.63395619571628,0,1.67768531906704,1.50632106735107
83,1.61128526645768,0,1.66993069653003,1.49582603050749
84,1.61484918793503,0,1.65892245972624,1.49153429846391
85,1.6044772213499,0,1.66079945755976,1.48851329654552
86,1.61333333333333,0,1.66348769206744,1.48469459393541
87,1.61028037383178,0,1.65214072511388,1.47858294266386
88,1.6063829787234,0,1.66019304049167,1.4771059844687
89,1.58611111111111,0,1.63429321416215,1.47246831402842
90,1.5992141453831,0,1.6474165798808,1.46315880207
91,1.59080459770115,0,1.63103158404042,1.46847893185678
92,1.583984375,0,1.63200559272047,1.4605806057612
93,1.58965165169994,0,1.64145230989046,1.45486221225132
94,1.5769528228925,0,1.62904982571849,1.45063686353755
95,1.57142857142857,0,1.62232284155935,1.43973187786884
96,1.57098765432099,0,1.61900127041456,1.44482611678724
97,1.57894736842105,0,1.62757751018091,1.44238784148866
98,1.56796752135867,0,1.6177036164875,1.43525742947009
99,1.56276150627615,0,1.61040151431268,1.43364458912027
100,1.5703125,0,1.61669930832088,1.41676131228704
